System Fixation time;Fixation Event;X Fixation Data; Y Fixation Data 
1587052502618;Fixation data;7390;1939
1587052502630;Fixation data;7389;1934
1587052502652;Fixation begin;7381;1927
1587052502663;Fixation data;7381;1933
1587052502674;Fixation data;7382;1941
1587052502685;Fixation begin;7393;1950
1587052502696;Fixation data;7392;1948
1587052502707;Fixation data;7392;1946
1587052502718;Fixation data;7395;1944
1587052502730;Fixation data;7396;1946
1587052502741;Fixation begin;7397;1950
1587052502752;Fixation data;7407;1946
1587052502763;Fixation begin;7433;1927
1587052502775;Fixation data;7431;1926
1587052502785;Fixation data;7429;1930
1587052502785;Fixation end;;
1587052502797;Fixation begin;7438;1950
1587052502808;Fixation data;7443;1951
1587052502818;Fixation begin;7460;1952
1587052502830;Fixation data;7464;1954
1587052502841;Fixation data;7466;1953
1587052502852;Fixation begin;7467;1952
1587052502863;Fixation data;7467;1954
1587052502874;Fixation data;7466;1959
1587052502885;Fixation begin;7463;1960
1587052502897;Fixation data;7462;1954
1587052502908;Fixation data;7463;1946
1587052502918;Fixation data;7461;1942
1587052502930;Fixation data;7456;1937
1587052502941;Fixation data;7451;1933
1587052502951;Fixation begin;7453;1932
1587052502963;Fixation data;7456;1935
1587052502974;Fixation data;7458;1942
1587052502985;Fixation data;7456;1951
1587052502997;Fixation data;7453;1954
1587052503018;Fixation begin;7463;1927
1587052503030;Fixation data;7463;1929
1587052503041;Fixation begin;7447;1948
1587052503052;Fixation data;7438;1949
1587052503063;Fixation data;7427;1950
1587052503074;Fixation data;7426;1945
1587052503085;Fixation data;7430;1938
1587052503096;Fixation data;7432;1935
1587052503107;Fixation data;7434;1928
1587052503116;Fixation begin;7441;1923
1587052503128;Fixation end;;
1587052503229;Fixation begin;8146;2040
1587052503240;Fixation data;8144;2034
1587052503251;Fixation data;8126;2028
1587052503262;Fixation data;8103;2030
1587052503274;Fixation begin;8080;2039
1587052503284;Fixation data;8092;2019
1587052503296;Fixation data;8103;1995
1587052503318;Fixation begin;8102;1958
1587052503329;Fixation data;8101;1961
1587052503341;Fixation data;8099;1965
1587052503352;Fixation begin;8097;1975
1587052503363;Fixation data;8094;1975
1587052503374;Fixation begin;8085;1978
1587052503385;Fixation data;8087;1981
1587052503396;Fixation data;8091;1988
1587052503407;Fixation data;8097;1993
1587052503417;Fixation data;8099;1996
1587052503429;Fixation data;8103;1997
1587052503441;Fixation data;8112;1994
1587052503451;Fixation data;8116;1988
1587052503463;Fixation data;8109;1981
1587052503474;Fixation data;8097;1978
1587052503484;Fixation begin;8081;1975
1587052503496;Fixation data;8084;1977
1587052503507;Fixation begin;8092;1980
1587052503517;Fixation data;8092;1985
1587052503529;Fixation data;8093;1993
1587052503541;Fixation data;8092;2000
1587052503551;Fixation end;;
1587052503563;Fixation begin;7902;2107
1587052503574;Fixation data;7872;2116
1587052503585;Fixation end;;
1587052503597;Fixation begin;7743;2186
1587052503608;Fixation data;7735;2187
1587052503618;Fixation data;7727;2183
1587052503630;Fixation data;7724;2180
1587052503641;Fixation begin;7722;2178
1587052503650;Fixation data;7723;2182
1587052503662;Fixation data;7730;2185
1587052503673;Fixation data;7739;2187
